store_id,store_name,city,state,region,store_type,store_size_sqft,employee_count,open_date,store_manager,monthly_rent,remodel_year
140,Walmart Neighborhood Market #140 - Omaha,Omaha,NE,Midwest,Neighborhood Market,33000,52,2005-01-18,Nancy Davis,24800.0,2023
141,Walmart Neighborhood Market #141 - Raleigh,Raleigh,NC,South,Neighborhood Market,29000,44,2019-03-13,Jason Lee,36300.0,2020
142,Walmart Supercenter #142 - Virginia Beach,Virginia Beach,VA,South,Supercenter,186000,323,2019-01-19,Michael Anderson,139500.0,2021
143,Walmart Discount Store #143 - Miami,Miami,FL,South,Discount Store,113000,180,1999-12-22,Nancy Garcia,122400.0,2016
144,Walmart Discount Store #144 - Oakland,Oakland,CA,West,Discount Store,101000,168,2006-11-12,Susan Rodriguez,143100.0,2021
145,Walmart Discount Store #145 - Minneapolis,Minneapolis,MN,Midwest,Discount Store,76000,112,1996-07-11,Anthony Martin,101300.0,2019
146,Walmart Discount Store #146 - Tulsa,Tulsa,OK,South,Discount Store,74000,107,2000-08-17,Jason Lopez,98700.0,2022
147,Walmart Supercenter #147 - Tampa,Tampa,FL,South,Supercenter,172000,269,2015-10-28,Jason Garcia,172000.0,2018
148,Walmart Neighborhood Market #148 - New Orleans,New Orleans,LA,South,Neighborhood Market,45000,57,2008-01-04,Anthony Taylor,56300.0,2019
149,Walmart Supercenter #149 - Wichita,Wichita,KS,Midwest,Supercenter,186000,259,2013-05-03,Nancy Smith,248000.0,2015
150,Walmart Discount Store #150 - Cleveland,Cleveland,OH,Midwest,Discount Store,93000,113,2011-10-16,Lisa Johnson,85300.0,2024
