product_id,product_name,category,subcategory,brand,unit_cost,list_price,supplier_id,supplier_name,supplier_lead_time_days,reorder_point,reorder_quantity,launch_date,active_flag
1034,Washer Dryer Combo,Appliances,Laundry,Ironvale,1145.68,1599.0,5002,Pacific Source Co,3,111,311,2022-08-16,True
1035,Dishwasher,Appliances,Kitchen Major,Belmore,403.28,749.0,5003,Atlas Wholesale,16,116,234,2022-04-24,True
1036,Electric Range Oven,Appliances,Kitchen Major,HomeCrest,738.32,1099.0,5004,Meridian Supply,20,100,144,2020-02-07,True
1037,Over-Range Microwave,Appliances,Kitchen Major,Maytron,270.26,399.0,5005,Crestline Partners,16,40,341,2024-10-20,True
1038,Air Fryer,Appliances,Kitchen Small,Cascade,88.81,149.99,5006,Vantage Global,3,44,171,2023-03-05,True
1039,Countertop Blender,Appliances,Kitchen Small,Ironvale,71.53,99.99,5007,Redstone Logistics,14,111,115,2021-01-10,True
1040,Drip Coffee Maker,Appliances,Kitchen Small,Belmore,47.28,89.99,5008,Harborline Trading,14,77,90,2020-10-14,True
1041,Espresso Machine,Appliances,Kitchen Small,HomeCrest,486.05,649.0,5001,Northwind Distribution,8,31,256,2021-08-18,True
1042,Stand Mixer,Appliances,Kitchen Small,Maytron,233.03,429.0,5002,Pacific Source Co,21,100,330,2023-06-02,True
1043,Electric Pressure Cooker,Appliances,Kitchen Small,Cascade,75.88,119.99,5003,Atlas Wholesale,10,67,390,2020-09-27,True
1044,4-Slice Toaster,Appliances,Kitchen Small,Ironvale,46.06,69.99,5004,Meridian Supply,12,90,301,2021-09-15,True
1045,Upright Vacuum,Appliances,Floor Care,Belmore,159.92,229.0,5005,Crestline Partners,19,69,164,2020-01-05,True
1046,Robot Vacuum,Appliances,Floor Care,HomeCrest,345.33,549.0,5006,Vantage Global,13,118,328,2019-12-23,True
1047,Cordless Stick Vacuum,Appliances,Floor Care,Maytron,273.17,399.0,5007,Redstone Logistics,15,33,328,2023-12-19,True
1048,HEPA Air Purifier,Appliances,Climate,Cascade,184.37,279.0,5008,Harborline Trading,11,23,285,2023-06-26,True
1049,"Ceiling Fan 52""",Appliances,Climate,Ironvale,117.26,159.0,5001,Northwind Distribution,10,25,374,2019-12-12,True
1050,Tankless Water Heater,Appliances,Climate,Belmore,742.28,1299.0,5002,Pacific Source Co,17,58,127,2022-12-23,True
